


Falsa posição:
interação|      a       |      b       |      x1      |      ea     |     f(x1)   |
       0 |    01,93902661|    02,10000000|    01,93902661|    08,30176301|    00,06289328|
       1 |    01,95183107|    02,10000000|    01,95183107|    00,65602313|    00,02151733|
       2 |    01,95608599|    02,10000000|    01,95608599|    00,21752220|    00,00724999|
       3 |    01,95750549|    02,10000000|    01,95750549|    00,07251578|    00,00242990|
       4 |    01,95797967|    02,10000000|    01,95797967|    00,02421756|    00,00081295|
       5 |    01,95813813|    02,10000000|    01,95813813|    00,00809252|    00,00027182|
       6 |    01,95819109|    02,10000000|    01,95819109|    00,00270472|    00,00009087|
       7 |    01,95820880|    02,10000000|    01,95820880|    00,00090404|    00,00003037|
       8 |    01,95821471|    02,10000000|    01,95821471|    00,00030218|    00,00001015|
       9 |    01,95821669|    02,10000000|    01,95821669|    00,00010101|    00,00000339|
      10 |    01,95821735|    02,10000000|    01,95821735|    00,00003376|    00,00000113|
      11 |    01,95821757|    02,10000000|    01,95821757|    00,00001129|    00,00000038|
      12 |    01,95821765|    02,10000000|    01,95821765|    00,00000377|    00,00000013|
      13 |    01,95821767|    02,10000000|    01,95821767|    00,00000126|    00,00000004|


Falsa posição:
interação|      a       |      b       |      x1      |      ea     |     f(x1)   |
       0 |    03,64047802|    03,80000000|    03,64047802|    04,38189654|    00,27044128|
       1 |    03,65988738|    03,80000000|    03,65988738|    00,53032680|    00,13956121|
       2 |    03,66923533|    03,80000000|    03,66923533|    00,25476553|    00,06975530|
       3 |    03,67374642|    03,80000000|    03,67374642|    00,12279276|    00,03428516|
       4 |    03,67592539|    03,80000000|    03,67592539|    00,05927663|    00,01670965|
       5 |    03,67697834|    03,80000000|    03,67697834|    00,02863643|    00,00810997|
       6 |    03,67748728|    03,80000000|    03,67748728|    00,01383918|    00,00392815|
       7 |    03,67773329|    03,80000000|    03,67773329|    00,00668925|    00,00190076|
       8 |    03,67785222|    03,80000000|    03,67785222|    00,00323356|    00,00091931|
       9 |    03,67790971|    03,80000000|    03,67790971|    00,00156315|    00,00044452|
      10 |    03,67793750|    03,80000000|    03,67793750|    00,00075567|    00,00021492|
      11 |    03,67795094|    03,80000000|    03,67795094|    00,00036531|    00,00010390|
      12 |    03,67795743|    03,80000000|    03,67795743|    00,00017660|    00,00005023|
      13 |    03,67796057|    03,80000000|    03,67796057|    00,00008538|    00,00002428|
      14 |    03,67796209|    03,80000000|    03,67796209|    00,00004127|    00,00001174|
      15 |    03,67796282|    03,80000000|    03,67796282|    00,00001995|    00,00000568|
      16 |    03,67796318|    03,80000000|    03,67796318|    00,00000965|    00,00000274|
      17 |    03,67796335|    03,80000000|    03,67796335|    00,00000466|    00,00000133|
      18 |    03,67796343|    03,80000000|    03,67796343|    00,00000225|    00,00000064|
      19 |    03,67796347|    03,80000000|    03,67796347|    00,00000109|    00,00000031|
      20 |    03,67796349|    03,80000000|    03,67796349|    00,00000053|    00,00000015|
      21 |    03,67796350|    03,80000000|    03,67796350|    00,00000025|    00,00000007|


Falsa posição:
interação|      a       |      b       |      x1      |      ea     |     f(x1)   |
       0 |    05,26476343|    05,40000000|    05,26476343|    02,56871129|    00,64432354|
       1 |    05,29388537|    05,40000000|    05,29388537|    00,55010526|    00,33224747|
       2 |    05,30704054|    05,40000000|    05,30704054|    00,24788141|    00,16065724|
       3 |    05,31299427|    05,40000000|    05,31299427|    00,11205981|    00,07509702|
       4 |    05,31569100|    05,40000000|    05,31569100|    00,05073153|    00,03452789|
       5 |    05,31691292|    05,40000000|    05,31691292|    00,02298185|    00,01575260|
       6 |    05,31746669|    05,40000000|    05,31746669|    00,01041401|    00,00716119|
       7 |    05,31771766|    05,40000000|    05,31771766|    00,00471963|    00,00325021|
       8 |    05,31783141|    05,40000000|    05,31783141|    00,00213906|    00,00147406|
       9 |    05,31788297|    05,40000000|    05,31788297|    00,00096951|    00,00066830|
      10 |    05,31790634|    05,40000000|    05,31790634|    00,00043942|    00,00030295|
      11 |    05,31791693|    05,40000000|    05,31791693|    00,00019917|    00,00013732|
      12 |    05,31792173|    05,40000000|    05,31792173|    00,00009027|    00,00006224|
      13 |    05,31792391|    05,40000000|    05,31792391|    00,00004092|    00,00002821|
      14 |    05,31792489|    05,40000000|    05,31792489|    00,00001854|    00,00001279|
      15 |    05,31792534|    05,40000000|    05,31792534|    00,00000841|    00,00000580|
      16 |    05,31792554|    05,40000000|    05,31792554|    00,00000381|    00,00000263|
      17 |    05,31792563|    05,40000000|    05,31792563|    00,00000173|    00,00000119|
      18 |    05,31792568|    05,40000000|    05,31792568|    00,00000078|    00,00000054|
      19 |    05,31792569|    05,40000000|    05,31792569|    00,00000035|    00,00000024|
